LotFrontage,LotArea,Street,OverallQual,YearBuilt,BsmtQual,TotalBsmtSF,CentralAir,GrLivArea,PoolArea,GarageArea
65.0,8450,Pave,7,2003,Gd,856,Y,1710,0,548
80.0,9600,Pave,6,1976,Gd,1262,Y,1262,0,460
68.0,11250,Pave,7,2001,Gd,920,Y,1786,0,608
60.0,9550,Pave,7,1915,TA,756,Y,1717,0,642
84.0,14260,Pave,8,2000,Gd,1145,Y,2198,0,836
85.0,14115,Pave,5,1993,Gd,796,Y,1362,0,480
75.0,10084,Pave,8,2004,Ex,1686,Y,1694,0,636
,10382,Pave,7,1973,Gd,1107,Y,2090,0,484
51.0,6120,Pave,7,1931,TA,952,Y,1774,0,468
50.0,7420,Pave,5,1939,TA,991,Y,1077,0,205
70.0,11200,Pave,5,1965,TA,1040,Y,1040,0,384
85.0,11924,Pave,9,2005,Ex,1175,Y,2324,0,736
,12968,Pave,5,1962,TA,912,Y,912,0,352
91.0,10652,Pave,7,2006,Gd,1494,Y,1494,0,840
,10920,Pave,6,1960,TA,1253,Y,1253,0,352
51.0,6120,Pave,7,1929,TA,832,Y,854,0,576
,11241,Pave,6,1970,TA,1004,Y,1004,0,480
72.0,10791,Pave,4,1967,,0,Y,1296,0,516
66.0,13695,Pave,5,2004,TA,1114,Y,1114,0,576
70.0,7560,Pave,5,1958,TA,1029,Y,1339,0,294
101.0,14215,Pave,8,2005,Ex,1158,Y,2376,0,853
57.0,7449,Pave,7,1930,TA,637,Y,1108,0,280
75.0,9742,Pave,8,2002,Gd,1777,Y,1795,0,534
44.0,4224,Pave,5,1976,Gd,1040,Y,1060,0,572
,8246,Pave,5,1968,TA,1060,Y,1060,0,270
110.0,14230,Pave,8,2007,Gd,1566,Y,1600,0,890
60.0,7200,Pave,5,1951,TA,900,Y,900,0,576
98.0,11478,Pave,8,2007,Ex,1704,Y,1704,0,772
47.0,16321,Pave,5,1957,TA,1484,Y,1600,0,319
60.0,6324,Pave,4,1927,TA,520,N,520,0,240
50.0,8500,Pave,4,1920,TA,649,N,1317,0,250
,8544,Pave,5,1966,TA,1228,Y,1228,0,271
85.0,11049,Pave,8,2007,Ex,1234,Y,1234,0,484
70.0,10552,Pave,5,1959,TA,1398,Y,1700,0,447
60.0,7313,Pave,9,2005,Ex,1561,Y,1561,0,556
108.0,13418,Pave,8,2004,Ex,1117,Y,2452,0,691
112.0,10859,Pave,5,1994,Gd,1097,Y,1097,0,672
74.0,8532,Pave,5,1954,TA,1297,Y,1297,0,498
68.0,7922,Pave,5,1953,TA,1057,Y,1057,0,246
65.0,6040,Pave,4,1955,,0,N,1152,0,0
84.0,8658,Pave,6,1965,TA,1088,Y,1324,0,440
115.0,16905,Pave,5,1959,TA,1350,Y,1328,0,308
,9180,Pave,5,1983,Gd,840,Y,884,0,504
,9200,Pave,5,1975,Gd,938,Y,938,0,308
70.0,7945,Pave,5,1959,TA,1150,Y,1150,0,300
61.0,7658,Pave,9,2005,Ex,1752,Y,1752,0,576
48.0,12822,Pave,7,2003,Ex,1434,Y,2149,0,670
84.0,11096,Pave,8,2006,Gd,1656,Y,1656,0,826
33.0,4456,Pave,4,1920,TA,736,Y,1452,0,0
66.0,7742,Pave,5,1966,TA,955,Y,955,0,386
,13869,Pave,6,1997,Gd,794,Y,1470,0,388
52.0,6240,Pave,6,1934,TA,816,Y,1176,0,528
110.0,8472,Grvl,5,1963,Gd,816,N,816,0,516
68.0,50271,Pave,9,1981,Ex,1842,Y,1842,0,894
60.0,7134,Pave,5,1955,TA,384,Y,1360,0,572
100.0,10175,Pave,6,1964,TA,1425,Y,1425,0,576
24.0,2645,Pave,8,1999,Gd,970,Y,1739,0,480
89.0,11645,Pave,7,2004,Gd,860,Y,1720,0,565
66.0,13682,Pave,10,2006,Ex,1410,Y,2945,0,641
60.0,7200,Pave,5,1972,TA,780,Y,780,0,352
63.0,13072,Pave,6,2004,Gd,1158,Y,1158,0,576
60.0,7200,Pave,5,1920,TA,530,N,1111,0,288
44.0,6442,Pave,8,2006,Gd,1370,Y,1370,0,484
50.0,10300,Pave,7,1921,TA,576,Y,1710,0,480
,9375,Pave,7,1997,Gd,1057,Y,2034,0,645
76.0,9591,Pave,8,2004,Ex,1143,Y,2473,0,852
,19900,Pave,7,1970,Gd,1947,Y,2207,0,576
72.0,10665,Pave,7,2003,Gd,1453,Y,1479,0,558
47.0,4608,Pave,4,1945,TA,747,Y,747,0,220
81.0,15593,Pave,7,1953,TA,1304,Y,2287,0,667
95.0,13651,Pave,7,1973,Gd,2223,Y,2223,0,516
69.0,7599,Pave,4,1982,TA,845,Y,845,0,360
74.0,10141,Pave,7,1998,Gd,832,Y,1718,0,427
85.0,10200,Pave,5,1954,TA,1086,Y,1086,0,490
60.0,5790,Pave,3,1915,Fa,840,N,1605,0,379
21.0,1596,Pave,4,1973,Gd,462,Y,988,0,297
,8475,Pave,4,1956,TA,952,Y,952,0,283
50.0,8635,Pave,5,1948,TA,672,Y,1285,0,240
72.0,10778,Pave,4,1968,TA,1768,N,1768,0,0
60.0,10440,Pave,5,1910,TA,440,Y,1230,0,440
100.0,13000,Pave,6,1968,Gd,896,Y,2142,0,509
32.0,4500,Pave,6,1998,Ex,1237,Y,1337,0,405
78.0,10206,Pave,8,2007,Gd,1563,Y,1563,0,758
80.0,8892,Pave,5,1960,TA,1065,Y,1065,0,461
,8530,Pave,7,1995,Gd,384,Y,1474,0,400
121.0,16059,Pave,8,1991,Gd,1288,Y,2417,0,462
122.0,11911,Pave,6,2005,Gd,684,Y,1560,0,400
40.0,3951,Pave,6,2009,Gd,612,Y,1224,0,528
105.0,8470,Pave,3,1915,TA,1013,N,1526,0,0
60.0,8070,Pave,4,1994,Gd,990,Y,990,0,0
60.0,7200,Pave,4,1950,,0,Y,1040,0,420
85.0,8500,Pave,5,1961,TA,1235,Y,1235,0,480
80.0,13360,Pave,5,1921,Gd,876,Y,964,0,432
60.0,7200,Pave,6,1910,TA,1214,N,2291,0,506
69.0,9337,Pave,6,1997,Gd,824,Y,1786,0,684
,9765,Pave,6,1993,Gd,680,Y,1470,0,420
78.0,10264,Pave,7,1999,Gd,1588,Y,1588,0,472
73.0,10921,Pave,4,1965,TA,960,Y,960,0,432
85.0,10625,Pave,5,1920,TA,458,N,835,0,366
77.0,9320,Pave,4,1959,TA,950,Y,1225,0,0
,10603,Pave,6,1977,TA,1610,Y,1610,0,480
77.0,9206,Pave,6,1985,Gd,741,Y,1732,0,476
64.0,7018,Pave,5,1979,,0,Y,1535,0,410
94.0,10402,Pave,7,2009,Gd,1226,Y,1226,0,740
,7758,Pave,7,1931,TA,1040,Y,1818,0,240
75.0,9375,Pave,8,2003,Ex,1053,Y,1992,0,648
60.0,10800,Pave,4,1885,Fa,641,Y,1047,0,273
50.0,6000,Pave,5,1948,TA,789,Y,789,0,250
85.0,8500,Pave,5,1919,TA,793,N,1517,0,0
105.0,11751,Pave,6,1977,Gd,1844,Y,1844,0,546
75.0,9525,Pave,6,1954,TA,994,Y,1855,0,325
,7750,Pave,7,2000,Gd,384,Y,1430,0,400
77.0,9965,Pave,7,2007,Ex,1264,Y,2696,0,792
,21000,Pave,6,1953,Gd,1809,Y,2259,0,450
61.0,7259,Pave,6,1945,TA,1028,Y,2320,0,180
34.0,3230,Pave,6,1999,Gd,729,Y,1458,0,440
,11616,Pave,5,1962,TA,1092,Y,1092,0,288
74.0,8536,Pave,5,2006,Gd,1125,Y,1125,0,430
90.0,12376,Pave,7,1990,Gd,1673,Y,3222,0,594
65.0,8461,Pave,6,2005,Gd,728,Y,1456,0,390
,21453,Pave,6,1969,TA,938,Y,988,0,540
50.0,6060,Pave,4,1939,TA,732,Y,1123,0,264
75.0,9464,Pave,6,1958,TA,1080,Y,1080,0,288
55.0,7892,Pave,6,1993,Gd,1199,Y,1199,0,530
48.0,17043,Pave,6,1979,Gd,1362,Y,1586,0,435
60.0,6780,Pave,6,1935,TA,520,N,754,0,0
,4928,Pave,6,1976,Gd,1078,Y,958,0,440
55.0,4388,Pave,5,1930,TA,672,Y,840,0,0
69.0,7590,Pave,6,1966,TA,660,Y,1348,0,453
69.0,8973,Pave,5,1958,TA,1008,Y,1053,0,750
88.0,14200,Pave,7,1966,TA,924,Y,2157,0,487
,12224,Pave,6,2000,Gd,992,Y,2054,0,390
75.0,7388,Pave,5,1959,TA,1063,Y,1327,0,624
,6853,Pave,8,2001,Ex,1267,Y,1296,0,471
78.0,10335,Pave,5,1968,TA,1461,Y,1721,0,440
80.0,10400,Pave,7,1970,TA,1304,Y,1682,0,530
,10355,Pave,5,1967,TA,1214,Y,1214,0,318
82.0,11070,Pave,7,1988,TA,1907,Y,1959,0,766
73.0,9066,Pave,8,1999,Gd,1004,Y,1852,0,660
65.0,15426,Pave,6,1997,Gd,928,Y,1764,0,470
70.0,10500,Pave,4,1971,TA,864,Y,864,0,0
78.0,11645,Pave,7,2005,Gd,1734,Y,1734,0,660
71.0,8520,Pave,5,1952,TA,910,Y,1385,0,720
78.0,10335,Pave,7,1999,Gd,1490,Y,1501,0,577
70.0,9100,Pave,5,1963,TA,1728,Y,1728,0,504
24.0,2522,Pave,6,2004,Gd,970,Y,1709,0,380
51.0,6120,Pave,5,1931,TA,715,Y,875,0,180
,9505,Pave,7,2001,Gd,884,Y,2035,0,434
63.0,7500,Pave,7,2004,Gd,1080,Y,1080,0,0
,6240,Pave,5,1936,Gd,896,Y,1344,0,240
120.0,10356,Pave,5,1975,TA,969,Y,969,0,440
107.0,13891,Pave,8,2007,Ex,1710,Y,1710,0,866
,14803,Pave,6,1971,TA,825,Y,1993,0,495
,13500,Pave,6,1960,Gd,1602,Y,1252,0,564
84.0,11340,Pave,6,1923,TA,1200,Y,1200,0,312
60.0,9600,Pave,6,1924,TA,572,N,1096,0,0
60.0,7200,Pave,5,1950,,0,Y,1040,0,625
92.0,12003,Pave,8,2009,Ex,774,Y,1968,0,680
100.0,12552,Pave,7,2004,Gd,991,Y,1947,0,678
134.0,19378,Pave,7,2005,Gd,1392,Y,2462,0,576
,11120,Pave,6,1984,Gd,1232,Y,1232,0,516
110.0,13688,Pave,9,2003,Ex,1572,Y,2668,0,726
95.0,12182,Pave,7,2005,Gd,1541,Y,1541,0,532
55.0,5500,Pave,4,1956,TA,882,Y,882,0,0
40.0,5400,Pave,6,1926,TA,1149,Y,1616,0,216
62.0,10106,Pave,5,1940,TA,644,Y,1355,0,0
,10708,Pave,5,1955,TA,1617,Y,1867,0,303
86.0,10562,Pave,8,2007,Ex,1582,Y,2161,0,789
62.0,8244,Pave,7,2004,Gd,840,Y,1720,0,440
,16669,Pave,8,1981,Gd,1686,Y,1707,0,511
,12358,Pave,5,1941,TA,720,Y,1382,0,660
141.0,31770,Pave,6,1960,TA,1080,Y,1656,0,528
44.0,5306,Pave,7,1987,Gd,1064,Y,1767,0,504
80.0,10197,Pave,6,1961,TA,1362,Y,1362,0,504
47.0,12416,Pave,6,1986,Gd,1606,Y,1651,0,616
84.0,12615,Pave,6,1950,TA,1202,Y,2158,0,576
97.0,10029,Pave,6,1988,Gd,1151,Y,2060,0,521
,13650,Pave,5,1958,TA,1052,Y,1920,0,451
63.0,17423,Pave,9,2008,Ex,2216,Y,2234,0,1166
60.0,8520,Pave,5,1923,TA,968,Y,968,0,480
,2117,Pave,6,2000,Gd,756,Y,1525,0,440
54.0,7588,Pave,7,1920,Fa,793,Y,1802,0,216
60.0,9060,Pave,5,1957,,0,Y,1340,0,252
63.0,11426,Pave,7,2003,Gd,1362,Y,2082,0,484
92.0,7438,Pave,5,1908,Fa,504,Y,1252,0,576
90.0,22950,Pave,10,1892,TA,1107,Y,3608,0,840
,9947,Pave,7,1990,Gd,1188,Y,1217,0,497
60.0,10410,Pave,5,1916,Fa,660,Y,1656,0,180
64.0,7018,Pave,5,1979,Gd,1086,Y,1224,0,528
41.0,4923,Pave,8,2001,Ex,1593,Y,1593,0,682
70.0,10570,Pave,8,1932,Gd,853,Y,2727,0,440
,7472,Pave,7,1972,TA,725,Y,1479,0,484
68.0,9017,Pave,7,1999,Gd,1431,Y,1431,0,666
24.0,2522,Pave,7,2004,Gd,970,Y,1709,0,380
60.0,7180,Pave,5,1972,TA,864,Y,864,0,352
24.0,2280,Pave,6,1976,Gd,855,Y,1456,0,440
79.0,9416,Pave,7,2007,Ex,1726,Y,1726,0,786
174.0,25419,Pave,8,1918,TA,1360,Y,3112,512,795
92.0,5520,Pave,6,1912,TA,755,Y,2229,0,0
76.0,9591,Pave,8,2004,Ex,1713,Y,1713,0,856
80.0,8546,Pave,4,2003,Gd,1121,Y,1121,0,440
75.0,10125,Pave,6,1977,TA,1196,Y,1279,0,473
50.0,7000,Pave,6,1924,Fa,617,Y,1310,0,398
,4438,Pave,6,2004,Gd,848,Y,848,0,420
50.0,3500,Pave,5,1947,TA,720,Y,1284,0,240
99.0,11851,Pave,7,1990,Gd,1424,Y,1442,0,500
40.0,13673,Pave,5,1962,TA,1140,Y,1696,0,349
,12493,Pave,4,1960,TA,1100,Y,1100,0,312
,14364,Pave,7,1988,Gd,1157,Y,2062,0,454
75.0,8250,Pave,6,1964,Gd,1092,Y,1092,0,504
67.0,5604,Pave,5,1925,TA,864,N,864,0,0
83.0,10420,Pave,6,2009,Gd,1212,Y,1212,0,460
72.0,8640,Pave,7,2009,Gd,900,Y,1852,0,644
43.0,13568,Pave,5,1995,Gd,990,Y,990,0,576
,10900,Pave,6,1977,Gd,689,Y,1392,0,299
72.0,10011,Pave,5,1957,TA,1070,Y,1236,0,447
65.0,8450,Pave,7,2004,Gd,1436,Y,1436,0,484
57.0,9906,Pave,4,1925,TA,686,N,1328,0,210
,15660,Pave,7,1939,TA,798,Y,1954,0,431
43.0,3010,Pave,7,2005,Gd,1248,Y,1248,0,438
73.0,8990,Pave,7,2006,Gd,1498,Y,1498,0,675
,8068,Pave,6,2002,Gd,1010,Y,2267,0,390
85.0,11475,Pave,6,1975,Gd,713,Y,1552,0,434
70.0,10500,Pave,4,1971,TA,864,Y,864,0,576
103.0,13472,Pave,10,2003,Ex,2392,Y,2392,0,968
21.0,1680,Pave,5,1971,TA,630,Y,1302,0,280
82.0,9950,Pave,7,1995,Gd,1203,Y,2520,0,721
21.0,1869,Pave,6,1970,TA,483,Y,987,0,280
70.0,8521,Pave,5,1967,TA,912,Y,912,0,336
43.0,3182,Pave,7,2005,Gd,1373,Y,1555,0,430
73.0,8760,Pave,6,1959,TA,1194,Y,1194,0,312
174.0,15138,Pave,8,1995,Gd,1462,Y,2794,0,810
21.0,1680,Pave,6,1972,TA,483,Y,987,0,288
75.0,10650,Pave,5,1976,TA,894,Y,894,0,308
,7851,Pave,6,2002,Gd,860,Y,1960,0,440
21.0,1680,Pave,6,1971,TA,483,Y,987,0,264
65.0,8773,Pave,7,2004,Gd,1414,Y,1414,0,494
,9453,Pave,7,1993,Gd,996,Y,1744,0,457
93.0,12030,Pave,8,2007,Ex,1694,Y,1694,0,818
52.0,8741,Pave,6,1945,TA,735,Y,1487,0,220
75.0,9000,Pave,8,2008,Gd,1566,Y,1566,0,750
40.0,3880,Pave,5,1945,TA,686,Y,866,0,0
63.0,5000,Pave,5,1900,TA,540,N,1440,0,352
75.0,10762,Pave,6,1980,Gd,626,Y,1217,0,288
,8880,Pave,7,1994,Gd,948,Y,2110,0,463
80.0,10400,Pave,7,1988,Gd,1845,Y,1872,0,604
69.0,9142,Pave,6,1910,Fa,1020,N,1928,0,440
75.0,11310,Pave,6,1954,TA,1367,Y,1375,0,451
72.0,11317,Pave,7,2003,Gd,840,Y,1668,0,500
,159000,Pave,6,1958,Gd,1444,Y,2144,0,389
55.0,5350,Pave,3,1940,TA,728,Y,1306,0,0
44.0,4750,Pave,8,2006,Gd,1573,Y,1625,0,538
65.0,8366,Pave,6,2004,Gd,798,Y,1640,0,520
85.0,9350,Pave,6,1964,Gd,1302,Y,1302,0,309
70.0,8400,Pave,5,1957,TA,1314,Y,1314,0,294
66.0,8738,Pave,7,1999,Gd,975,Y,2291,0,429
64.0,8791,Pave,6,2003,Gd,864,Y,1728,0,673
68.0,8814,Pave,7,2006,Gd,1604,Y,1604,0,660
80.0,12435,Pave,7,2001,Gd,963,Y,1792,0,564
70.0,12702,Pave,5,1956,,0,Y,882,0,308
120.0,19296,Pave,6,1962,TA,1362,Y,1382,0,884
69.0,9588,Pave,8,2007,Ex,1482,Y,2574,0,868
88.0,8471,Pave,6,1977,Gd,506,Y,1212,0,492
50.0,5500,Pave,5,1929,TA,926,Y,1316,0,484
30.0,5232,Pave,5,1925,Fa,680,N,764,0,504
78.0,12090,Pave,6,1981,Gd,1422,Y,1422,0,576
70.0,11207,Pave,6,1997,Gd,802,Y,1511,0,413
60.0,8400,Pave,5,1939,TA,720,Y,2192,0,240
71.0,6900,Pave,5,1940,TA,740,Y,778,0,924
,7917,Pave,6,1976,TA,1143,Y,1113,0,504
84.0,10728,Pave,8,2006,Gd,1095,Y,1939,0,1053
73.0,39104,Pave,7,1954,Gd,1385,Y,1363,0,439
92.0,11764,Pave,8,1999,Gd,1152,Y,2270,0,671
80.0,9600,Pave,6,1958,TA,1240,Y,1632,0,338
76.0,8314,Pave,5,1982,TA,816,Y,816,0,264
55.0,7264,Pave,7,1925,TA,952,N,1548,0,672
129.0,9196,Pave,7,2003,Ex,1560,Y,1560,0,573
140.0,19138,Pave,4,1951,TA,864,Y,864,0,400
107.0,14450,Pave,9,2006,Ex,2121,Y,2121,0,732
83.0,10005,Pave,7,1977,Gd,1160,Y,2022,0,505
82.0,11287,Pave,7,1989,Gd,807,Y,1982,0,575
60.0,7200,Pave,6,2006,Gd,1262,Y,1262,0,572
34.0,5063,Pave,7,2007,Gd,1314,Y,1314,0,626
74.0,9612,Pave,8,2008,Gd,1468,Y,1468,0,898
50.0,8012,Pave,6,1992,Gd,1575,Y,1575,0,529
35.0,4251,Pave,7,2006,Gd,625,Y,1250,0,528
77.0,9786,Pave,6,1962,TA,912,Y,1734,0,440
,8125,Pave,4,1971,TA,858,Y,858,0,0
,9819,Pave,5,1967,TA,882,Y,900,0,280
60.0,8730,Pave,6,1915,TA,698,Y,1396,0,384
120.0,15611,Pave,8,2006,Gd,1079,Y,1919,0,685
55.0,5687,Pave,5,1912,TA,780,N,1716,0,0
60.0,11409,Pave,5,1949,TA,768,Y,1716,0,281
,16659,Pave,7,1977,TA,795,Y,2263,0,539
80.0,9600,Pave,6,1953,TA,1416,Y,1644,0,418
37.0,7937,Pave,6,1984,TA,1003,Y,1003,0,588
75.0,13710,Pave,5,1950,TA,910,Y,1558,0,282
66.0,7399,Pave,7,1997,Gd,975,Y,1950,0,576
90.0,11700,Pave,6,1968,TA,702,Y,1743,0,539
80.0,14000,Pave,6,1950,TA,1092,Y,1152,0,300
90.0,15750,Pave,5,1953,TA,1165,Y,1336,0,375
66.0,16226,Pave,8,1998,Gd,1028,Y,2452,0,683
118.0,13704,Pave,7,2001,Gd,1541,Y,1541,0,843
70.0,9800,Pave,5,1972,TA,894,Y,894,0,552
87.0,18386,Pave,7,1880,TA,1470,Y,3493,0,870
80.0,10386,Pave,8,2004,Gd,2000,Y,2000,0,888
116.0,13474,Pave,7,1990,Gd,700,Y,2243,0,746
,7920,Pave,6,1920,TA,319,Y,1406,0,0
,12342,Pave,4,1940,TA,861,Y,861,0,539
90.0,12378,Pave,9,2003,Ex,1896,Y,1944,0,708
,7685,Pave,6,1993,Gd,697,Y,1501,0,420
50.0,8000,Pave,6,1948,TA,972,Y,972,0,240
65.0,7800,Pave,5,1939,Gd,793,Y,1118,0,410
150.0,215245,Pave,7,1965,Gd,2136,Y,2036,0,513
60.0,9600,Pave,7,1925,TA,728,Y,1641,0,546
71.0,7795,Pave,7,2004,Gd,716,Y,1432,0,432
94.0,13005,Pave,7,1980,Gd,845,Y,2353,0,484
75.0,9000,Pave,8,2006,Gd,1088,Y,1959,0,1025
90.0,9900,Pave,7,1993,Gd,1347,Y,2646,0,656
,14115,Pave,7,1980,Gd,1372,Y,1472,0,588
111.0,16259,Pave,9,2006,Ex,1249,Y,2596,0,840
99.0,12099,Pave,8,2004,Ex,1136,Y,2468,0,872
86.0,10380,Pave,7,1986,TA,1502,Y,2730,0,576
49.0,5820,Pave,3,1955,TA,1162,Y,1163,0,220
96.0,11275,Pave,7,1967,Gd,710,Y,2978,0,564
50.0,5000,Pave,5,1941,TA,720,N,803,0,360
32.0,10846,Pave,8,1993,Gd,1719,Y,1719,0,473
80.0,11600,Pave,6,1960,TA,1383,Y,1383,0,292
,11888,Pave,6,1916,TA,844,N,2134,0,441
60.0,6402,Pave,5,1920,TA,596,N,1192,0,189
,10624,Pave,5,1964,TA,1728,Y,1728,0,352
70.0,8176,Pave,5,1958,TA,1056,Y,1056,0,308
85.0,10655,Pave,8,2003,Gd,3206,Y,1629,0,880
59.0,8198,Pave,7,2004,Gd,1358,Y,1358,0,484
59.0,9042,Pave,6,1998,Gd,943,Y,1638,0,472
,164660,Grvl,5,1965,TA,1499,Y,1786,0,529
86.0,14157,Pave,9,2005,Ex,1922,Y,1922,0,676
70.0,9135,Pave,7,2002,Gd,1536,Y,1536,0,532
91.0,14145,Pave,7,1984,Gd,1208,Y,1621,0,440
66.0,12400,Pave,6,1958,TA,1215,Y,1215,0,297
85.0,14191,Pave,8,2002,Gd,967,Y,1908,0,431
60.0,8400,Pave,4,1950,TA,721,Y,841,0,294
,8544,Pave,3,1949,,0,N,1040,0,400
63.0,8849,Pave,9,2005,Ex,1684,Y,1684,0,564
36.0,2592,Pave,5,1976,Gd,536,Y,1112,0,336
65.0,6435,Pave,6,1939,TA,972,Y,1577,0,312
,12772,Pave,6,1960,TA,958,Y,958,0,301
,17600,Pave,6,1960,TA,1478,Y,1478,0,498
36.0,2448,Pave,7,2003,Gd,764,Y,1626,0,474
56.0,20431,Pave,9,2005,Ex,1848,Y,2728,0,706
68.0,7820,Pave,9,2007,Ex,1869,Y,1869,0,617
,5271,Pave,7,1986,Gd,1453,Y,1453,0,445
60.0,9084,Pave,5,1941,TA,616,N,1111,0,200
60.0,8520,Pave,6,1928,TA,624,Y,720,0,484
60.0,8400,Pave,6,1940,TA,940,Y,1595,0,240
105.0,11249,Pave,6,1995,Gd,1200,Y,1200,0,521
,9248,Pave,6,1992,Gd,1158,Y,1167,0,400
44.0,4224,Pave,5,1976,Gd,1142,Y,1142,0,528
92.0,6930,Pave,5,1958,TA,1062,Y,1352,0,288
78.0,12011,Pave,8,1998,Gd,1086,Y,1924,0,592
,7540,Pave,6,1978,Gd,888,Y,912,0,470
,9144,Pave,5,1940,TA,883,Y,1505,0,240
